name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
109 Tau b,Candidate,,,,16.0,,,,,,26.0,,,0.232,,,,,,,,,,2005,2024-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 34559 b,,109 Tau,79.81919240385,22.09650594955,4.948,,3.308,2.959,2.816,71.0625,0.87975,0.87975,0.096,0.031,0.031,2.47,,,9.8,,,G8III,0.6,0.05,0.05,5012.07,3.91874,3.91874,,,"n Tau, HD 34559"
110 Vir b,Candidate,1.6,0.1,0.1,,,,,,,507.0,8.6,8.6,1.37,0.02,0.02,0.3,0.08,0.08,,,,,2004,2024-07-07,134.0,42.9,41.9,,,,,,,,,,,,,,,,,,,,,,34.7,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 73620 b,,110 Vir,225.72515651496167,2.0913043610361113,4.4,3.05,2.63,2.07,1.95,58.8085,0.92595,0.92595,-0.22,0.1,0.1,1.3,,,13.4,0.9,0.9,K0IIIb,3.33,1.9,1.9,4650.0,,,,,HIP 73620
13 Boo b,Candidate,36.0,,,30.0,,,,,,494.0,,,1.235,,,0.21,,,57.0,,,,1991,2024-07-03,,,,,,,,,,,,,,,,,,,,,,,,,870.0,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 123782 b,,13 Boo,212.07209479918,49.45816567982,5.25,,1.95,0.92,0.86,213.555,8.084,8.084,,,,,,,78.73,,,M1.5III,,,,3791.0,122.0,122.0,,,"CF Boo, HD 123782"
14 Her d,Candidate,,,,0.28,,,,,,3765.0,77.0,77.0,,,,0.17,0.06,0.06,,,,,2023,2023-05-22,313.0,18.0,18.0,2456425.0,163.0,163.0,,,,,,,,,,,,,,,,,,,3.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311.0,87.0,87.0,,,
18 Leo b,Candidate,,1.2,1.2,12.7,1.2,1.2,,,,595.4,11.5,11.2,1.72,0.02,0.02,0.0,,,,,,,2004,2024-07-07,0.0,5.8,5.4,,,,,,,,,,,,,,,,,,,,,,,90.6,90.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 47959 b,,18 Leo,146.59719713332,11.8,5.64,,3.16,2.368,2.146,221.155,11.449,11.449,-0.32,0.1,0.1,1.9,,,48.5,,,K4III,,,,4085.54,49.0034,49.0034,,,HIP 47959
18 Sco b,Candidate,,0.00271,0.00271,0.0213,0.00271,0.00271,,,,19.8777,0.0062,0.0062,0.1455,,,0.38,0.16,0.16,,,,,2023,2024-08-08,,,,,,,,,,,,,,,,,,,,,,,,,1.73,0.26,0.26,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 146233 b,,18 Sco,243.90529166666667,-8.369444444444444,5.5,,,,,14.1251,0.225,0.225,0.04,0.1,0.1,1.04,0.013,0.013,1.039,0.041,0.041,G2Va,,,,5791.0,151.1,151.1,,,HD 146233
21 Her (AB) b,Candidate,,,,36.0,,,,,,57.67,2.2,2.2,0.48,,,,,,,,,,2002,2018-12-12,,,,,,,,,,,,,,,,,,,,,,,,,580.0,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"o Her b, HD 147869 b, 21 Her b",,21 Her (AB),246.045119685,6.94821008122,5.82,,5.76,5.77,5.75,113.45,1.15,1.15,,,,4.4,,,,,,A+M,,,,9500.0,,,,,"o Her, HD 147869, 21 Her"
2MASS J0328+4856 b,Candidate,20.0,,,,,,,,,,,,,,,,,,,,,,2019,2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,2MASS J0328+4856,52.05572496068,48.93761687367,18.06,,,,,169.359,2.277,2.277,,,,0.395,0.021,0.021,0.403,0.013,0.013,M6,0.05,,,3153.0,157.0,157.0,,,"APX 42B, 2MASS J03281336+4856154, 2M03281336+4856154"
2MASS J0330+4943 b,Candidate,20.0,,,,,,,,,,,,,,,,,,,,,,2019,2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,2MASS J0330+4943,52.57893140804,49.72633326762,18.67,,,,,189.57,,,,,,0.404,0.0363,0.0363,0.411,0.0296,0.0296,M6,0.05,,,3050.0,157.0,157.0,,,"2MASS J03301892+4943348, 2M03301892+4943348, APX 160G"
2MASS J0343+2602 b,Candidate,20.0,,,,,,,,,,,,,,,,,,,,,,2019,2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,2MASS J0343+2602,55.85915315873,26.04192515433,16.56,,,,,132.082,1.3345,1.3345,,,,0.394,0.02,0.02,0.4027,0.0125,0.0125,M4,0.125,,,3321.0,157.0,157.0,,,"*V619 Tau, 2M03432619+2602308, 2MASS J03432619+2602308"
